;catalog_number;cataloged_date;Determined date 1;Start Date;start_year;start_month;determined_year;determined_month;cataloged_month;cataloged_year;class;kingdom;genus;species;family;phylum;order;type;author;author_year;determiner_full_name;determiner_full_name1;determiner_full_name2;collector_full_name;collector_full_name2;collector_full_name3;collector_full_name4;collector_first_name;collector_last_name;qualifier;min_depth;max_depth;lat;long;continent;water_body;country;state;county;locality
264;IBUFRJ 0265;2000-02-26;2001-00-00;2000-02-26;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Dasybranchus;caducus;Capitellidae;Annelida;Scolecida;;(Grube; 1843);Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;cf.;15.0;15.0;-17.5059333;-39.0130667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Timbebas
265;IBUFRJ 0266;2000-02-24;2001-00-00;2000-02-24;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Aricidea;albatrossae;Paraonidae;Annelida;Scolecida;;Pettibone;1957;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;27.0;27.0;-18.0480333;-38.6794833;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Parcel dos Abrolhos
266;IBUFRJ 0267;2000-02-24;2001-00-00;2000-02-24;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Cossura;soyeri;Cossuridae;Annelida;Scolecida;;Laubier;1964;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;cf.;27.0;27.0;-18.0480333;-38.6794833;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Parcel dos Abrolhos
267;IBUFRJ 0268;2000-02-23;2001-00-00;2000-02-23;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Aricidea;albatrossae;Paraonidae;Annelida;Scolecida;;Pettibone;1957;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;29.0;29.0;-18.01315;-38.63945;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Parcel dos Abrolhos
268;IBUFRJ 0269;2000-02-27;2001-00-00;2000-02-27;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Aricidea;albatrossae;Paraonidae;Annelida;Scolecida;;Pettibone;1957;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;5.0;-17.6057667;-39.04955;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Areia
269;IBUFRJ 0270;2000-02-19;2001-00-00;2000-02-19;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Levinsenia;gracilis;Paraonidae;Annelida;Scolecida;;(Tauber; 1879);Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;9.0;-17.99605;-39.2726;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Parcel das Paredes
270;IBUFRJ 0271;2000-02-25;2001-00-00;2000-02-25;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Chaetozone;sp.;Cirratulidae;Annelida;Terebellida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;8.0;8.0;-17.7521167;-38.9786667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Lixa
271;IBUFRJ 0272;2000-02-25;2001-00-00;2000-02-25;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Chaetozone;sp.;Cirratulidae;Annelida;Terebellida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;8.0;8.0;-17.7521167;-38.9786667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Lixa
272;IBUFRJ 0273;2000-02-13;2001-00-00;2000-02-13;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Chaetozone;sp.;Cirratulidae;Annelida;Terebellida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;3.0;6.0;-17.9549833;-39.2186333;South America;Atlantic Ocean;Brazil;Bahia;Nova Viçosa;Recife da Coroa Vermelha
273;IBUFRJ 0274;2000-02-27;2001-00-00;2000-02-27;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Chaetozone;sp.;Cirratulidae;Annelida;Terebellida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;5.0;-17.6057667;-39.04955;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Areia
274;IBUFRJ 0275;2000-02-18;2001-00-00;2000-02-18;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Tharyx;sp.;Cirratulidae;Annelida;Terebellida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;9.0;-17.7081167;-39.0001;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Parcel das Paredes
275;IBUFRJ 0276;2000-02-26;2001-00-00;2000-02-26;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Euclymene;sp.;Maldanidae;Annelida;Scolecida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;15.0;15.0;-17.5059333;-39.0130667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Timbebas
276;IBUFRJ 0277;2000-02-23;2001-00-00;2000-02-23;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Euclymene;sp.;Maldanidae;Annelida;Scolecida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;29.0;29.0;-17.01315;-38.63945;South America;Atlantic Ocean;Brazil;Bahia;Caravelas, Abrolhos;Parcel dos Abrolhos
277;IBUFRJ 0278;2000-02-25;2001-00-00;2000-02-25;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Euclymene;sp.;Maldanidae;Annelida;Scolecida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;14.0;14.0;-17.6824167;-38.9664;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Lixa
278;IBUFRJ 0279;2000-02-16;2001-00-00;2000-02-16;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Asychis;elongata;Maldanidae;Annelida;Scolecida;;(Verrill; 1873);Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;cf.;5.0;10.0;-16.8864333;-39.0850667;South America;Atlantic Ocean;Brazil;Bahia;Porto;Recife de Itacolomis
279;IBUFRJ 0280;2000-02-12;2001-00-00;2000-02-12;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Maldane;sp.;Maldanidae;Annelida;Scolecida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;26.0;26.0;-18.0106667;-39.0194667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Popa Verde
280;IBUFRJ 0281;2000-02-24;2001-00-00;2000-02-24;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Chloeia;viridis;Amphinomidae;Annelida;Amphinomida;;(Schmarda; 1861);Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;16.0;16.0;-17.9043167;-38.6876;South America;Atlantic Ocean;Brazil;Bahia;Caravelas, Abrolhos;Norte do Arquipélago dos Abrolhos
281;IBUFRJ 0282;2000-02-13;2001-00-00;2000-02-13;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Harmothoe;macginitiei;Polynoidae;Annelida;Phyllodocida;;Pettibone;1955;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;21.0;21.0;-17.9884833;-39.2198;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Popa Verde
