;catalog_number;cataloged_date;Determined date 1;Start Date;start_year;start_month;determined_year;determined_month;cataloged_month;cataloged_year;class;kingdom;genus;species;family;phylum;order;type;author;author_year;determiner_full_name;determiner_full_name1;determiner_full_name2;collector_full_name;collector_full_name2;collector_full_name3;collector_full_name4;collector_first_name;collector_last_name;qualifier;min_depth;max_depth;lat;long;continent;water_body;country;state;county;locality
2067;IBUFRJ 2068;2013-05-21;2011-00-00;2000-04-16;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;sp.;Alciopidae;Annelida;Phyllodocida;;;;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2068;IBUFRJ 2069;2013-05-21;2011-00-00;2000-04-16;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2069;IBUFRJ 2070;2013-05-21;2011-00-00;2000-05-01;2000.0;5.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2070;IBUFRJ 2071;2013-05-21;2011-00-00;2000-04-26;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;alata;Alciopidae;Annelida;Phyllodocida;;Chamberlin;1919;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2071;IBUFRJ 2072;2013-05-21;2011-00-00;2000-04-26;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;cf.;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2072;IBUFRJ 2073;2013-05-21;2011-00-00;2000-05-01;2000.0;5.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2073;IBUFRJ 2074;2013-05-21;2011-00-00;2000-05-01;2000.0;5.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2074;IBUFRJ 2075;2013-05-21;2011-00-00;2000-04-29;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2075;IBUFRJ 2076;2013-05-21;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;tenuis;Alciopidae;Annelida;Phyllodocida;;(Apstein; 1900);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;cf.;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2076;IBUFRJ 2077;2013-05-21;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2077;IBUFRJ 2078;2013-05-21;2011-00-00;2000-04-29;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;tenuis;Alciopidae;Annelida;Phyllodocida;;(Apstein; 1900);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;cf.;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2078;IBUFRJ 2079;2013-05-21;2011-00-00;2000-04-18;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;alata;Alciopidae;Annelida;Phyllodocida;;Chamberlin;1919;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2079;IBUFRJ 2080;2013-05-21;2011-00-00;2000-04-12;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2080;IBUFRJ 2081;2013-05-21;2011-00-00;2000-04-21;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2081;IBUFRJ 2082;2013-05-21;2011-00-00;2000-04-18;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2082;IBUFRJ 2083;2013-05-21;2011-00-00;2000-04-12;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2083;IBUFRJ 2084;2013-05-21;2011-00-00;2000-04-12;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;cf.;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2084;IBUFRJ 2085;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;cf.;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2085;IBUFRJ 2086;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Torrea;candida;Alciopidae;Annelida;Phyllodocida;;(Delle Chiaje; 1841);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2086;IBUFRJ 2087;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;formosa;Alciopidae;Annelida;Phyllodocida;;Claparède;1870;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2087;IBUFRJ 2088;2013-05-21;2011-00-00;2000-04-12;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2088;IBUFRJ 2089;2013-05-21;2011-00-00;2000-08-25;2000.0;8.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2089;IBUFRJ 2090;2013-05-21;2011-00-00;2000-04-07;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Nan;nan;Alciopidae;Annelida;Phyllodocida;;;;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2090;IBUFRJ 2091;2013-05-21;2011-00-00;2000-04-07;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;capitata;Alciopidae;Annelida;Phyllodocida;;(Greeff; 1876);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2091;IBUFRJ 2092;2013-05-21;2011-00-00;2000-04-07;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2092;IBUFRJ 2093;2013-05-21;2011-00-00;2000-04-16;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2093;IBUFRJ 2094;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2094;IBUFRJ 2095;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2095;IBUFRJ 2096;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;capitata;Alciopidae;Annelida;Phyllodocida;;(Greeff; 1876);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2096;IBUFRJ 2097;2013-05-21;2011-00-00;2000-04-01;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Plotohelmis;tenuis;Alciopidae;Annelida;Phyllodocida;;(Apstein; 1900);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2097;IBUFRJ 2098;2013-05-21;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;petersii;Alciopidae;Annelida;Phyllodocida;;(Langerhans; 1880);Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2098;IBUFRJ 2099;2013-05-21;2011-00-00;2000-03-31;2000.0;3.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;sp.;Alciopidae;Annelida;Phyllodocida;;;;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2099;IBUFRJ 2100;2013-05-21;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Rhynchonereella;gracilis;Alciopidae;Annelida;Phyllodocida;;Costa;1864;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2100;IBUFRJ 2101;2013-05-21;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;5.0;2013.0;Polychaeta;Animalia;Alciopina;sp.;Alciopidae;Annelida;Phyllodocida;;;;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2101;IBUFRJ 2102;2013-06-19;2012-00-00;2008-09-01;2008.0;9.0;2012.0;0.0;6.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;603.0;603.0;-22.3754917;-40.1031722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2102;IBUFRJ 2103;2013-06-17;2011-00-00;2000-05-01;2000.0;5.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Alciopina;sp.;Alciopidae;Annelida;Phyllodocida;;;;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2103;IBUFRJ 2104;2013-06-19;2012-00-00;2009-01-17;2009.0;1.0;2012.0;0.0;6.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;613.0;613.0;-22.3675056;-40.0950583;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2104;IBUFRJ 2105;2013-06-17;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2105;IBUFRJ 2106;2013-06-17;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2106;IBUFRJ 2107;2013-06-17;2011-00-00;2000-04-24;2000.0;4.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2107;IBUFRJ 2108;2013-06-17;2011-00-00;2000-04-22;2000.0;4.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Vanadis;formosa;Alciopidae;Annelida;Phyllodocida;;Claparède;1870;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2108;IBUFRJ 2109;2013-06-17;2011-00-00;2000-05-01;2000.0;5.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Vanadis;formosa;Alciopidae;Annelida;Phyllodocida;;Claparède;1870;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2109;IBUFRJ 2110;2013-06-19;2012-00-00;2008-10-25;2008.0;10.0;2012.0;0.0;6.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;609.0;609.0;-22.3734528;-40.105225;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2110;IBUFRJ 2111;2013-06-19;2012-00-00;2009-03-13;2009.0;3.0;2012.0;0.0;6.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;628.0;628.0;-22.381475;-40.1131444;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2111;IBUFRJ 2112;2013-06-17;2011-00-00;2000-04-30;2000.0;4.0;2011.0;0.0;6.0;2013.0;Polychaeta;Animalia;Vanadis;minuta;Alciopidae;Annelida;Phyllodocida;;Treadwell;1906;Bruna T. Faro;;;Ricardo Guimaraes;Francisco Mattos;;;Ricardo;Guimaraes;;0.0;200.0;;;South America;Atlantic Ocean;Brazil;;;Brazil
2112;IBUFRJ 2113;2013-07-01;2012-00-00;2008-11-21;2008.0;11.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;606.0;606.0;-22.3734556;-40.1049639;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2113;IBUFRJ 2114;2013-07-01;2012-00-00;2008-07-05;2008.0;7.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;608.0;608.0;-22.3752194;-40.1032083;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2114;IBUFRJ 2115;2013-07-01;2012-00-00;2005-07-23;2005.0;7.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;1041.0;1041.0;-22.4238111;-39.96735;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2115;IBUFRJ 2116;2013-07-01;2012-00-00;2009-02-14;2009.0;2.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;608.0;608.0;-22.4037028;-40.1264833;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2116;IBUFRJ 2117;2013-07-01;2012-00-00;2008-08-05;2008.0;8.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;612.0;612.0;-22.3759806;-40.1030667;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2117;IBUFRJ 2118;2013-07-01;2012-00-00;2009-02-14;2009.0;2.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;603.0;603.0;-22.3828389;-40.1224139;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2118;IBUFRJ 2119;2013-07-01;2012-00-00;2008-01-28;2008.0;1.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;603.0;603.0;-22.5047111;-40.175925;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2119;IBUFRJ 2120;2013-07-01;2012-00-00;2008-01-28;2008.0;1.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;617.0;617.0;-22.3767528;-40.101425;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2120;IBUFRJ 2121;2013-07-01;2012-00-00;2008-09-26;2008.0;9.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;608.0;608.0;-22.3831417;-40.122725;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2121;IBUFRJ 2122;2013-07-01;2012-00-00;2008-01-29;2008.0;1.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;626.0;626.0;-22.3762056;-40.1048556;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2122;IBUFRJ 2123;2013-07-01;2012-00-00;2004-04-11;2004.0;4.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;870.0;870.0;-22.3716083;-39.9917583;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2123;IBUFRJ 2124;2013-07-01;2012-00-00;2008-06-10;2008.0;6.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;747.0;747.0;-22.6313889;-40.1758333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2124;IBUFRJ 2125;2013-07-01;2012-00-00;2006-03-17;2006.0;3.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Nan;nan;Glyceridae;Annelida;Phyllodocida;;;;Vinicius D. Miranda;;;;;;;Petrobras;;;745.0;745.0;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2125;IBUFRJ 2126;2013-07-01;2009-00-00;2009-04-23;2009.0;4.0;2009.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Daniel;;;;;;;Petrobras;;;626.0;626.0;-22.3831139;-40.1127417;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2126;IBUFRJ 2127;2013-07-01;2012-00-00;2006-03-17;2006.0;3.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;747.0;747.0;-22.5145361;-40.8304083;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2127;IBUFRJ 2128;2013-07-01;2012-00-00;2005-07-13;2005.0;7.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;gilchristi;Polynoidae;Annelida;Phyllodocida;;Day;1960;Vinicius D. Miranda;;;;;;;Petrobras;;;867.0;867.0;-22.3651056;-39.9881444;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro
2128;IBUFRJ 2129;2013-07-01;2012-00-00;2008-01-01;2008.0;1.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Hydroides;elegans;Serpulidae;Annelida;Phyllodocida;;(Haswell; 1883);Vinicius D. Miranda;;;;;;;Vinicius;;;;;-22.9355556;-43.1061111;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Niterói;Clube Naval Charitas
2129;IBUFRJ 2130;2013-07-02;2012-00-00;2008-01-01;2008.0;1.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Pholoides;sinepapillatus;Sigalionidae;Annelida;Phyllodocida;Paratype;Miranda & Brasil;2014;Vinicius D. Miranda;;;;;;;Petrobras;;;622.0;622.0;-22.3675583;-40.0942333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Macaé;Bacia de Campos
2130;IBUFRJ 2131;2013-07-02;2012-00-00;2012-01-01;2012.0;1.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Pholoides;sinepapillatus;Sigalionidae;Annelida;Phyllodocida;Holotype;Miranda & Brasil;2014;Vinicius D. Miranda;;;;;;;Petrobras;;;639.0;639.0;-22.3781889;-40.09585;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Macaé;Bacia de Campos
2131;IBUFRJ 2132;2013-07-02;2012-00-00;2008-09-01;2008.0;9.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;ruthae;Polynoidae;Annelida;Phyllodocida;Holotype;Miranda & Brasil;2014;Vinicius D. Miranda;Ana C. Brasil;Ana C. Brasil;;;;;Petrobras;;;612.0;612.0;-22.3749861;-40.1028778;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Macaé;Bacia de Campos
2132;IBUFRJ 2133;2013-07-02;2012-00-00;2009-03-13;2009.0;3.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;ruthae;Polynoidae;Annelida;Phyllodocida;Paratype;Miranda & Brasil;2014;Vinicius D. Miranda;Ana C. Brasil;Ana C. Brasil;;;;;Petrobras;;;599.0;599.0;-22.3814972;-40.1136889;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Macaé;Bacia de Campos
2133;IBUFRJ 2134;2013-07-02;2012-00-00;2006-03-17;2006.0;3.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;ruthae;Polynoidae;Annelida;Phyllodocida;Paratype;Miranda & Brasil;2014;Vinicius D. Miranda;Ana C. Brasil;Ana C. Brasil;;;;;Petrobras;;;605.0;605.0;-22.5204056;-40.2473778;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Macaé;Bacia de Campos
2134;IBUFRJ 2135;2013-07-02;2012-00-00;2008-07-05;2008.0;7.0;2012.0;0.0;7.0;2013.0;Polychaeta;Animalia;Harmothoe;ruthae;Polynoidae;Annelida;Phyllodocida;Paratype;Miranda & Brasil;2014;Vinicius D. Miranda;Ana C. Brasil;Ana C. Brasil;;;;;Petrobras;;;572.0;572.0;-22.4086444;-40.1031806;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Macaé;Bacia de Campos
