;Catalog Number;Cataloged Date;Cataloger First Name;Cataloger Last Name;Online;Object Condition;Return Date;Count;Remarks;Specimen condition;Kingdom;Phylum 1;Class 1;Order 1;Family 1;Genus 1;Species 1;Species Author 1;Species Author Year 1;Qualifier 1;Type Status 1;Current 1;Determiner Last Name 1;Determined date 1;Remarks 1;Phylum 2;Class 2;Order 2;Family 2;Genus 2;Species 2;Species Author 2;Qualifier 2;Type Status 2;Current 2;Determiner Last Name 2;Determined date 2;Remarks 2;Start Date;End Date;Verbatim Date;Collector First Name 1;Collector Middle 1;Collector Last Name 1;Collector First Name 2;Collector Middle 2;Collector Last Name 2;Collector First Name 3;Collector Middle 3;Collector Last Name 3;Collector First Name 4;Collector Middle 4;Collector Last Name 4;Min Depth;Max Depth;Substratum;Habitat;Associated Taxa;Researcher Code;Trip Name;Remarks (CT);Method;Prep Type 1;Count 1;Description 1;Fluid Preservation 1;Storage Location 1;Prep Type 2;Count 2;Description 2;Fluid Preservation 2;Storage Location 2;Prep Type 3;Count 3;Description 3;Fluid Preservation 3;Storage Location 3;Continent;WaterBody;Country;State;County;Locality Name;Verbatim locality;Locality and habitat notes;LocationRemarks;Latitude/Longitude Type;Latitude;Longitude;Object Condition Citation;Journal
612;IBUFRJ 0613;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
613;IBUFRJ 0614;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
614;IBUFRJ 0615;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
615;IBUFRJ 0616;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
616;IBUFRJ 0617;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
617;IBUFRJ 0618;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
618;IBUFRJ 0619;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
619;IBUFRJ 0620;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
620;IBUFRJ 0621;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
621;IBUFRJ 0622;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
622;IBUFRJ 0623;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
623;IBUFRJ 0624;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
624;IBUFRJ 0625;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
625;IBUFRJ 0626;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
626;IBUFRJ 0627;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
627;IBUFRJ 0628;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nereididae;;;;;;;True;Cinthya S. Santos;;;;;;;;;;;;False;;;;;;;Cinthya;Simone Gomes;Santos;;;;;;;;;;;;;Marine;;;;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio Grande do Norte;Atol das Rocas;Atol das Rocas;;;;Point;-3.8644444;-33.8125;;
628;IBUFRJ 0629;;Unknown;Unknown;No;Lost;;;;;Animalia;Annelida ;Polychaeta;;;;;;;;;True;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown;;;;;;;;
629;IBUFRJ 0630;1905-06-25;Unknown;Unknown;No;Lost;;20.0;;;Animalia;Annelida ;Polychaeta;Amphinomida;Amphinomidae;Paramphinome;posterobranchiata;Barroso & Paiva; 2008 ;;Paratype;True;Romulo B. Baptista;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;900.0;2000.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;;;;;
630;IBUFRJ 0631;1905-06-25;Unknown;Unknown;Yes;Available;;10.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Opheliidae;Ophelina;abranchiata;Støp-Bowitz; 1948 ;;;True;Romulo B. Baptista;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;1010.0;1600.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;10.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;;;;;
631;IBUFRJ 0632;1905-06-25;Unknown;Unknown;Yes;Available;;9.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Opheliidae;Ophelina;chaetifera;(Hartman; 1965);;;True;Romulo B. Baptista;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;1200.0;1650.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;9.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;;;;;
632;IBUFRJ 0633;1905-06-25;Unknown;Unknown;Yes;Available;;2.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Opheliidae;Ophelina;cylindricaudata;(Hansen; 1879) ;;;True;Romulo B. Baptista;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;750.0;1370.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;;;;;
633;IBUFRJ 0634;1905-06-25;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Amphinomida;Amphinomidae;Chloeia;kudenovi;Barroso & Paiva;2011;;Holotype;True;Romulo B. Baptista;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;730.0;760.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.3305556;-40.0097222;;
634;IBUFRJ 0635;1905-06-25;Unknown;Unknown;No;Lost;;8.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Sternaspidae;Sternaspis;sp.;;;;;True;Paulo C. Paiva;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;1040.0;1650.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;;;;;
635;IBUFRJ 0636;1905-06-25;Unknown;Unknown;Yes;Available;;8.0;;;Animalia;Annelida ;Polychaeta;Amphinomida;Amphinomidae;Chloeia;kudenovi;Barroso & Paiva;2011;;Paratype;True;Romulo B. Baptista;2007-00-00;;;;;;;;;;;False;;;;2003-06-24;;2003-06-24;Navio;;Astro Garoupa;;;;;;;;;;1045.0;1045.0;;Marine;;;Projeto OceanProof;;;Formaldehyde 4%;8.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.6825;-40.275;;
636;IBUFRJ 0637;2003-12-04;Unknown;Unknown;Yes;Available;;20.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Paraonidae;Aricidea;strelzovi;Hartmann-Schröder & Rosenfeldt;1990;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;20.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
637;IBUFRJ 0638;2003-12-04;Unknown;Unknown;No;Lost;;4.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Flabelligeridae;Brada;villosa;(Rathke; 1843);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;;;Ethanol 70%;;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
638;IBUFRJ 0639;2003-12-04;Unknown;Unknown;Yes;Available;;26.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Maldanidae;Rhodine;antarctica;(Gravier; 1907);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;26.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
639;IBUFRJ 0640;2003-12-04;Unknown;Unknown;Yes;Available;;12.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Scalibregmatidae;Scalibregma;inflatum;(Rathke; 1843);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;12.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
640;IBUFRJ 0641;2003-12-04;Unknown;Unknown;Yes;Available;;4.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Maldanidae;Maldane;sarsi;Arwidsson;1911;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
641;IBUFRJ 0642;2003-12-04;Unknown;Unknown;Yes;Available;;2.0;;;Animalia;Annelida ;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;kerguelensis;Grube;1878;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
642;IBUFRJ 0643;2003-12-04;Unknown;Unknown;Yes;Available;;2.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Opheliidae;Ophelina;breviata;(Ehlers; 1913);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
643;IBUFRJ 0644;2003-12-04;Unknown;Unknown;Yes;Available;;197.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Cirratulidae;Aphelochaeta;cincinnata;(Ehlers; 1908);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;197.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
644;IBUFRJ 0645;2003-12-04;Unknown;Unknown;Yes;Available;;6.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Orbiniidae;Leitoscoloplos;geminus;Mackie;1987;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;6.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
645;IBUFRJ 0646;2003-12-04;Unknown;Unknown;Yes;Available;;13.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Orbiniidae;Leitoscoloplos;kerguelensis;(McIntosh; 1885);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;13.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
646;IBUFRJ 0647;2003-12-04;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Eunicida;Dorvilleidae;Pettiboneia;hartmanae;(Orensanz; 1990);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
647;IBUFRJ 0648;2003-12-04;Unknown;Unknown;Yes;Available;;3.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Polynoidae;Barrukia;cristata;(Willey; 1902);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;3.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
648;IBUFRJ 0649;2003-12-04;Unknown;Unknown;Yes;Available;;5.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Trichobranchidae;Terebellides;stroemii;(McIntosh; 1885);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;5.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
649;IBUFRJ 0650;2003-12-04;Unknown;Unknown;Yes;Available;;3.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Terebellidae;Pista;cristata;(Müller; 1776);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;3.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
650;IBUFRJ 0651;2003-12-04;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Nephtyidae;Aglaophamus;trissophyllus;(Grube; 1877);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
651;IBUFRJ 0652;2003-12-04;Unknown;Unknown;Yes;Available;;8.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Sphaerodoridae;Sphaerodoropsis;arctowskyensis;Hartmann-Schröder & Rosenfeldt;1988;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;;;;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;8.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
652;IBUFRJ 0653;2003-12-04;Unknown;Unknown;Yes;Available;;3.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Syllidae;Exogone;heterosetosa;McIntosh;1885;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;3.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
653;IBUFRJ 0654;2003-12-04;Unknown;Unknown;Yes;Available;;2.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Ampharetidae;Anobothrus;patagonicus;(Kinberg; 1867);cf.;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-04;;2003-12-04;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.0833333;-58.3333333;;
654;IBUFRJ 0655;2003-12-01;Unknown;Unknown;Yes;Available;;90.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Paraonidae;Levinsenia;gracilis;(Tauber; 1879);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;90.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
655;IBUFRJ 0656;2003-12-01;Unknown;Unknown;Yes;Available;;29.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Paraonidae;Aricidea;strelzovi;Hartmann-Schröder & Rosenfeldt;1990;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;29.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
656;IBUFRJ 0657;2003-12-01;Unknown;Unknown;Yes;Available;;4.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Flabelligeridae;Brada;villosa;(Rathke; 1843);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
657;IBUFRJ 0658;2003-12-01;Unknown;Unknown;Yes;Available;;29.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Maldanidae;Rhodine;antarctica;(Gravier; 1907);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;29.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
658;IBUFRJ 0659;2003-12-01;Unknown;Unknown;Yes;Available;;12.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Maldanidae;Asychis;amphiglypta;(Ehlers; 1897);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;12.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
