;Catalog Number;Cataloged Date;Cataloger First Name;Cataloger Last Name;Online;Object Condition;Return Date;Count;Remarks;Specimen condition;Kingdom;Phylum 1;Class 1;Order 1;Family 1;Genus 1;Species 1;Species Author 1;Species Author Year 1;Qualifier 1;Type Status 1;Current 1;Determiner Last Name 1;Determined date 1;Remarks 1;Phylum 2;Class 2;Order 2;Family 2;Genus 2;Species 2;Species Author 2;Qualifier 2;Type Status 2;Current 2;Determiner Last Name 2;Determined date 2;Remarks 2;Start Date;End Date;Verbatim Date;Collector First Name 1;Collector Middle 1;Collector Last Name 1;Collector First Name 2;Collector Middle 2;Collector Last Name 2;Collector First Name 3;Collector Middle 3;Collector Last Name 3;Collector First Name 4;Collector Middle 4;Collector Last Name 4;Min Depth;Max Depth;Substratum;Habitat;Associated Taxa;Researcher Code;Trip Name;Remarks (CT);Method;Prep Type 1;Count 1;Description 1;Fluid Preservation 1;Storage Location 1;Prep Type 2;Count 2;Description 2;Fluid Preservation 2;Storage Location 2;Prep Type 3;Count 3;Description 3;Fluid Preservation 3;Storage Location 3;Continent;WaterBody;Country;State;County;Locality Name;Verbatim locality;Locality and habitat notes;LocationRemarks;Latitude/Longitude Type;Latitude;Longitude;Object Condition Citation;Journal
662;IBUFRJ 0663;2003-12-01;Unknown;Unknown;Yes;Available;;4.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Scalibregmatidae;Scalibregma;inflatum;(Rathke; 1843);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
663;IBUFRJ 0664;2003-12-01;Unknown;Unknown;Yes;Available;;4.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Opheliidae;Ophelina;sp.;;;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
664;IBUFRJ 0665;2003-12-01;Unknown;Unknown;Yes;Available;;214.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Cirratulidae;Aphelochaeta;cincinnata;(Ehlers; 1908);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;214.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
665;IBUFRJ 0666;2003-12-01;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Orbiniidae;Leitoscoloplos;geminus;Mackie;1987;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
666;IBUFRJ 0667;2003-12-01;Unknown;Unknown;Yes;Available;;4.0;;;Animalia;Annelida ;Polychaeta;Scolecida;Orbiniidae;Leitoscoloplos;kerguelensis;(McIntosh; 1885);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
667;IBUFRJ 0668;2003-12-01;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Polynoidae;Barrukia;cristata;(Willey; 1902);;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
668;IBUFRJ 0669;2003-12-01;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Terebellida;Terebellidae;Proclea;graffii;(Langerhans; 1884);cf.;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
669;IBUFRJ 0670;2003-12-01;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Polynoidae;Austrolaenilla;antarctica;Bergström;1916;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
670;IBUFRJ 0671;2003-12-01;Unknown;Unknown;Yes;Available;;4.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Syllidae;Exogone;heterosetosa;McIntosh;1885;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
671;IBUFRJ 0672;2003-12-01;Unknown;Unknown;Yes;Available;;1.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Syllidae;Exogone;heterosetoides;Hartmann-Schröder;1979;;;True;Leticia Barbosa;2007-00-00;;;;;;;;;;;False;;;;2003-12-01;;2003-12-01;Geamb;;;;;;;;;;;;20.0;60.0;;Marine;;;GEAMB;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;Antarctica;Austral Ocean;Antarctica;;;Ilha Rei George, Baía do Almirantado;Baía do Almirantado;;;Point;-62.15;-58.4833333;;
